review,aspect,category
The dining room is quietly elegant with no music to shout over -- how refreshing!,dining room,AMBIENCE#GENERAL:positive
"The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs.",service,SERVICE#GENERAL:positive
"The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs.",staff,SERVICE#GENERAL:positive
"Looking around, I saw a room full of New Yorkers enjoying a real meal in a real restaurant, not a clubhouse of the fabulous trying to be seen.",meal,FOOD#QUALITY:positive
"Looking around, I saw a room full of New Yorkers enjoying a real meal in a real restaurant, not a clubhouse of the fabulous trying to be seen.",restaurant,AMBIENCE#GENERAL:positive
Beautiful experience.,NULL,RESTAURANT#GENERAL:positive
The view is breathtaking the service is top notch... the ambiance is wonderfull.,view,LOCATION#GENERAL:positive
The view is breathtaking the service is top notch... the ambiance is wonderfull.,service,SERVICE#GENERAL:positive
The view is breathtaking the service is top notch... the ambiance is wonderfull.,ambiance,AMBIENCE#GENERAL:positive
The staff offers impeccable service.,staff,SERVICE#GENERAL:positive
I had Lobster Bisque it has 2 oz. of Maine Lobster in it.,Lobster Bisque,FOOD#STYLE_OPTIONS:positive
My boyfriend had the New England Chowder it was good but I think the award should go to the Lobster Bisque.,New England Chowder,FOOD#QUALITY:positive
My boyfriend had the New England Chowder it was good but I think the award should go to the Lobster Bisque.,Lobster Bisque,FOOD#QUALITY:positive
It was divine melts in your mouth.,NULL,FOOD#QUALITY:positive
My boyfriend had Prime Rib it was good .,Prime Rib,FOOD#QUALITY:positive
We didn't want a bottle of bubbly on a weekday so we each got little bottles of Korbett it was just enough. ,bottles of Korbett,DRINKS#STYLE_OPTIONS:positive
It's cuz it's so good you need to taste it!!! ,NULL,FOOD#QUALITY:positive
All in all we're already coming up with excuses to go ahead really soon in the next few wks!!!!,NULL,RESTAURANT#GENERAL:positive
My wife and I ate here earlier this week and have not stopped ranting and raving about the food.,food,FOOD#QUALITY:positive
If you like spicy food get the chicken vindaloo.,chicken vindaloo,FOOD#QUALITY:positive
It's very spicy but not offensive.,NULL,FOOD#QUALITY:positive
We will definitely go back.,NULL,RESTAURANT#GENERAL:positive
Go to Volare for 1st class service and terrific food.,service,SERVICE#GENERAL:positive
Go to Volare for 1st class service and terrific food.,food,FOOD#QUALITY:positive
The portions are large and the servers always surprise us with a different starter.,portions,FOOD#STYLE_OPTIONS:positive
The portions are large and the servers always surprise us with a different starter.,servers,SERVICE#GENERAL:positive
The wine list is excellent.,wine list,DRINKS#STYLE_OPTIONS:positive
The food is amazing... especially if you get the Chef's tasting menu and your favourite bottle (or two!) of wine from an extensive selection of wines.,food,FOOD#QUALITY:positive
The food is amazing... especially if you get the Chef's tasting menu and your favourite bottle (or two!) of wine from an extensive selection of wines.,selection of wines,DRINKS#STYLE_OPTIONS:positive
The food is amazing... especially if you get the Chef's tasting menu and your favourite bottle (or two!) of wine from an extensive selection of wines.,Chef's tasting menu,FOOD#QUALITY:positive
"The place is small and intimate and you may feel a little crowded, but the service is excellent and it's great for friends out, a romantic date, or a special occassion.",service,SERVICE#GENERAL:positive
"The place is small and intimate and you may feel a little crowded, but the service is excellent and it's great for friends out, a romantic date, or a special occassion.",place,AMBIENCE#GENERAL:negative
"The place is small and intimate and you may feel a little crowded, but the service is excellent and it's great for friends out, a romantic date, or a special occassion.",place,RESTAURANT#MISCELLANEOUS:positive
The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.,food,FOOD#PRICES:negative
The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.,prixe fixe tasting menu,FOOD#QUALITY:positive
The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.,prixe fixe tasting menu,FOOD#PRICES:positive
The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.,NULL,SERVICE#GENERAL:positive
Please be aware that it's CASH or AMEX only!,NULL,RESTAURANT#MISCELLANEOUS:neutral
"With the exception of our lemon salad that had so much pepper on it that our eyes started watering, the food here was decent, not great.",food,FOOD#QUALITY:neutral
"With the exception of our lemon salad that had so much pepper on it that our eyes started watering, the food here was decent, not great.",lemon salad,FOOD#QUALITY:negative
The menu is very limited - i think we counted 4 or 5 entrees.,menu,FOOD#STYLE_OPTIONS:negative
"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",grilled branzino,FOOD#QUALITY:negative
"The decor in this place is very diner-ish and the kind of place you expect in the East Village - not romantic, just simple, small and sparse.",decor,AMBIENCE#GENERAL:neutral
Problem is nothing at Prune is particularly memorable.,Prune,RESTAURANT#GENERAL:negative
No plans to return anytime soon.,NULL,RESTAURANT#GENERAL:negative
This place is so much fun.,place,AMBIENCE#GENERAL:positive
Our family never expected such incredible entertainment in a restaurant.,restaurant,RESTAURANT#GENERAL:positive
Our food was great too!,food,FOOD#QUALITY:positive
And really large portions.,portions,FOOD#STYLE_OPTIONS:positive
The staff was the friendliest that have seen in New York.,staff,SERVICE#GENERAL:positive
We will go back every time we are in the City.,NULL,RESTAURANT#GENERAL:positive
If you want something really different than try Jekyll and Hyde.,Jekyll and Hyde,RESTAURANT#GENERAL:positive
It is a lot of fun with live entertainment and all kinds of Disney type special effects.,NULL,AMBIENCE#GENERAL:positive
The food was pretty tradional but it was hot and good with large portions.,food,FOOD#QUALITY:positive
The food was pretty tradional but it was hot and good with large portions.,portions,FOOD#STYLE_OPTIONS:positive
I highly recommend it.,NULL,RESTAURANT#GENERAL:positive
The place is a lot of fun.,place,AMBIENCE#GENERAL:positive
My six year old loved it.,NULL,RESTAURANT#GENERAL:positive
The characters really make for an enjoyable experience.,characters,AMBIENCE#GENERAL:positive
"The food however, is what one might expect.",food,FOOD#QUALITY:negative
It is very overpriced and not very tasty.,NULL,FOOD#QUALITY:negative
It is very overpriced and not very tasty.,NULL,FOOD#PRICES:negative
"However, I think Jeckll and Hydes t is one of those places that is fun to do once.",Jeckll and Hydes,RESTAURANT#GENERAL:positive
We had a good time.,NULL,RESTAURANT#GENERAL:positive
Went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them.,NULL,SERVICE#GENERAL:negative
Service was slow had to wait to order and get food although not crowded.,Service,SERVICE#GENERAL:negative
Drinks way over priced.,Drinks,DRINKS#PRICES:negative
Food was good not great not worth the wait or another visit,Food,FOOD#QUALITY:neutral
Food was good not great not worth the wait or another visit,NULL,RESTAURANT#GENERAL:negative
Great pizza for lunch place.,pizza,FOOD#QUALITY:positive
Service was quick.,Service,SERVICE#GENERAL:positive
The pizza was great.,pizza,FOOD#QUALITY:positive
And it was quick which is very important.,NULL,SERVICE#GENERAL:positive
Have the iced tea.,iced tea,DRINKS#QUALITY:positive
It was wonderful.,NULL,DRINKS#QUALITY:positive
"Whenever you need a Sushi fix, Mizu will be there with quality fish and great service.",fish,FOOD#QUALITY:positive
"Whenever you need a Sushi fix, Mizu will be there with quality fish and great service.",service,SERVICE#GENERAL:positive
Delivery is fast too.,Delivery,SERVICE#GENERAL:positive
"Great friendly service, Fast seating, Fast Delivery, Excellent sushi.",service,SERVICE#GENERAL:positive
"Great friendly service, Fast seating, Fast Delivery, Excellent sushi.",seating,SERVICE#GENERAL:positive
"Great friendly service, Fast seating, Fast Delivery, Excellent sushi.",Delivery,SERVICE#GENERAL:positive
"Great friendly service, Fast seating, Fast Delivery, Excellent sushi.",sushi,FOOD#QUALITY:positive
A little overpriced but worth it once you take a bite.,NULL,FOOD#PRICES:negative
A little overpriced but worth it once you take a bite.,NULL,FOOD#QUALITY:positive
Ess-A-Bagel (either by Sty-town or midtown) is by far the best bagel in NY.,bagel,FOOD#QUALITY:positive
"The bagels always warm, soft on the inside, crispy on the outside and enormous in size.",bagels,FOOD#QUALITY:positive
"The bagels always warm, soft on the inside, crispy on the outside and enormous in size.",bagels,FOOD#STYLE_OPTIONS:positive
They have a huge selection of different cream cheeses and all of their salads are great.,salads,FOOD#QUALITY:positive
They have a huge selection of different cream cheeses and all of their salads are great.,cream cheeses,FOOD#STYLE_OPTIONS:positive
The lox is always fresh too.,lox,FOOD#QUALITY:positive
Highly recommended to all!,NULL,RESTAURANT#GENERAL:positive
Not impressed with the food.,food,FOOD#QUALITY:negative
Prices too high for this cramped and unappealing resturant.,resturant,RESTAURANT#PRICES:negative
Prices too high for this cramped and unappealing resturant.,resturant,AMBIENCE#GENERAL:negative
Zero ambiance to boot.,ambiance,AMBIENCE#GENERAL:negative
I thought this place was totally overrated.,place,RESTAURANT#GENERAL:negative
Everything we had was good or ok....but definitely nothing great.,NULL,RESTAURANT#GENERAL:neutral
"The ambience was nice, but service wasn't so great.",ambience,AMBIENCE#GENERAL:positive
"The ambience was nice, but service wasn't so great.",service,SERVICE#GENERAL:negative
"When you add it all together, it just doesn't seem worth it to me...especially considering the prices.",NULL,RESTAURANT#GENERAL:negative
"When you add it all together, it just doesn't seem worth it to me...especially considering the prices.",NULL,RESTAURANT#PRICES:negative
This is the BEST Shabu-Shabu Restaurant in the Try-State Area.,Shabu-Shabu Restaurant,RESTAURANT#GENERAL:positive
I have lived in Japan for 7 years and the taste of the food and the feel of the restaurant is like being back in Japan.,food,FOOD#QUALITY:positive
I have lived in Japan for 7 years and the taste of the food and the feel of the restaurant is like being back in Japan.,feel,AMBIENCE#GENERAL:positive
Thius is a must for anyone who loves Shabu-Shabu.,Shabu-Shabu,FOOD#QUALITY:positive
"The atmosphere is nothing special, but it feels like a Sushi establishment in Tokyo.",atmosphere,AMBIENCE#GENERAL:positive
The owner and staff are all Japanese as well and that adds to the entire ambiance.,owner,RESTAURANT#MISCELLANEOUS:positive
The owner and staff are all Japanese as well and that adds to the entire ambiance.,staff,RESTAURANT#MISCELLANEOUS:positive
The owner and staff are all Japanese as well and that adds to the entire ambiance.,ambiance,AMBIENCE#GENERAL:positive
"Despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art.",menu,FOOD#STYLE_OPTIONS:negative
"Despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art.",NULL,FOOD#QUALITY:positive
"Despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art.",NULL,FOOD#STYLE_OPTIONS:positive
I must give it Yon out of Yon stars!,NULL,RESTAURANT#GENERAL:positive
Taxan delicious!,Taxan,FOOD#QUALITY:positive
"This restaurant was recommended by a local...as a matter of fact, he made the reservation for us and said we would not be disappointed!",NULL,RESTAURANT#GENERAL:positive
The prices were CHEAP compared to the quality of service and food.,NULL,RESTAURANT#PRICES:positive
The prices were CHEAP compared to the quality of service and food.,service,SERVICE#GENERAL:positive
The prices were CHEAP compared to the quality of service and food.,food,FOOD#QUALITY:positive
"We liked it so much, that we will always make it a point to dine here when we visit New York.",NULL,RESTAURANT#GENERAL:positive
The location and ambience is Ok but the food is what makes up for it.,location,LOCATION#GENERAL:neutral
The location and ambience is Ok but the food is what makes up for it.,ambience,AMBIENCE#GENERAL:neutral
The location and ambience is Ok but the food is what makes up for it.,food,FOOD#QUALITY:positive
There is a lot of variety even for people who eat vegetarian like me.,NULL,FOOD#STYLE_OPTIONS:positive
Try green curry with vegetables.,green curry with vegetables,FOOD#QUALITY:positive
"The quantity is also very good, you will come out satisfied.",NULL,FOOD#STYLE_OPTIONS:positive
"The service is ok, some of the people didn't get what they asked for.",service,SERVICE#GENERAL:neutral
I was there on sat. for my birthday and we had an excellent time.,NULL,RESTAURANT#GENERAL:positive
I had the best ravioli ever.,ravioli,FOOD#QUALITY:positive
The wine the service was very good too.,wine,DRINKS#QUALITY:positive
The wine the service was very good too.,service,SERVICE#GENERAL:positive
Moderate prices.,NULL,RESTAURANT#PRICES:neutral
A little noise but I think that was because of our party!,NULL,AMBIENCE#GENERAL:neutral
This quaint and romantic trattoria is at the top of my Manhattan restaurant list.,trattoria,AMBIENCE#GENERAL:positive
This quaint and romantic trattoria is at the top of my Manhattan restaurant list.,trattoria,RESTAURANT#GENERAL:positive
"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.",food,FOOD#QUALITY:positive
"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.",dishes,FOOD#QUALITY:positive
"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.",specials,FOOD#QUALITY:positive
"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.",regular menu-fare,FOOD#QUALITY:positive
"Whether it's the parmesean porcini souffle or the lamb glazed with balsamic vinegar, you will surely be transported to Northern Italy with one bite.",parmesean porcini souffle,FOOD#QUALITY:positive
"Whether it's the parmesean porcini souffle or the lamb glazed with balsamic vinegar, you will surely be transported to Northern Italy with one bite.",lamb glazed with balsamic vinegar,FOOD#QUALITY:positive
"Although the tables may be closely situated, the candle-light, food-quality and service overcompensate.",candle-light,AMBIENCE#GENERAL:positive
"Although the tables may be closely situated, the candle-light, food-quality and service overcompensate.",food,FOOD#QUALITY:positive
"Although the tables may be closely situated, the candle-light, food-quality and service overcompensate.",service,SERVICE#GENERAL:positive
"Although the tables may be closely situated, the candle-light, food-quality and service overcompensate.",tables,AMBIENCE#GENERAL:negative
A guaranteeed delight!,NULL,RESTAURANT#GENERAL:positive
"I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and wine for the gods at mortal prices.",food,FOOD#QUALITY:positive
"I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and wine for the gods at mortal prices.",wine,DRINKS#QUALITY:positive
"I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and wine for the gods at mortal prices.",food,FOOD#PRICES:positive
"I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and wine for the gods at mortal prices.",wine,DRINKS#PRICES:positive
"If you go, try the marinara/arrabiatta sauce, the mozzarella en Carozza is mmmmmmmm..... everything is just delicious.",marinara/arrabiatta sauce,FOOD#QUALITY:positive
"If you go, try the marinara/arrabiatta sauce, the mozzarella en Carozza is mmmmmmmm..... everything is just delicious.",mozzarella en Carozza,FOOD#QUALITY:positive
"If you go, try the marinara/arrabiatta sauce, the mozzarella en Carozza is mmmmmmmm..... everything is just delicious.",NULL,FOOD#QUALITY:positive
Check out the secret back room.,back room,AMBIENCE#GENERAL:positive
I pray it stays open forever.,NULL,RESTAURANT#GENERAL:positive
Thank You Emilio.,Emilio,RESTAURANT#GENERAL:positive
"I found the food, service and value exceptional everytime I have been there.",food,FOOD#QUALITY:positive
"I found the food, service and value exceptional everytime I have been there.",service,SERVICE#GENERAL:positive
"I found the food, service and value exceptional everytime I have been there.",NULL,RESTAURANT#PRICES:positive
The food was authentic.,food,FOOD#QUALITY:positive
I felt as though I were eating in Paris.,NULL,FOOD#QUALITY:positive
The service was excellent - friendly and attentive.,service,SERVICE#GENERAL:positive
The prices are wonderfully low.,NULL,RESTAURANT#PRICES:positive
Very good wine choices.,wine choices,DRINKS#STYLE_OPTIONS:positive
Who has room for Cheesesticks with the best pizza in NYC!,pizza,FOOD#QUALITY:positive
Get the pepperoni - YUM - and a family style salad.,pepperoni,FOOD#QUALITY:positive
Get the pepperoni - YUM - and a family style salad.,family style salad,FOOD#QUALITY:positive
Great staff.,staff,SERVICE#GENERAL:positive
Always great service!,service,SERVICE#GENERAL:positive
I go twice a month!,NULL,RESTAURANT#GENERAL:positive
Fantastic!,NULL,RESTAURANT#GENERAL:positive
"The food is good, I can't lie.",food,FOOD#QUALITY:positive
But the staff was so horrible to us.,staff,SERVICE#GENERAL:negative
The hostess and the waitress were incredibly rude and did everything they could to rush us out.,hostess,SERVICE#GENERAL:negative
The hostess and the waitress were incredibly rude and did everything they could to rush us out.,waitress,SERVICE#GENERAL:negative
We were planning to get dessert but the waitress basically through the bill at us before we had a chance to order.,waitress,SERVICE#GENERAL:negative
"This place is pricey, and yes, the food is worth it; but the service makes you feel like you should be paying a quater of the price.",place,RESTAURANT#PRICES:negative
"This place is pricey, and yes, the food is worth it; but the service makes you feel like you should be paying a quater of the price.",food,FOOD#QUALITY:positive
"This place is pricey, and yes, the food is worth it; but the service makes you feel like you should be paying a quater of the price.",service,SERVICE#GENERAL:negative
Save yourself the time and trouble and skip this one!,NULL,RESTAURANT#GENERAL:negative
Amma is nothing special.,Amma,RESTAURANT#GENERAL:neutral
I ate here a week ago and found most dishes average at best and too expensive.,dishes,FOOD#QUALITY:negative
I ate here a week ago and found most dishes average at best and too expensive.,dishes,FOOD#PRICES:negative
Will not be back.,NULL,RESTAURANT#GENERAL:negative
"Don't dine at Tamarind for the vegetarian dishes, they are simply not up to par with the non-veg selections.",vegetarian dishes,FOOD#QUALITY:negative
"Don't dine at Tamarind for the vegetarian dishes, they are simply not up to par with the non-veg selections.",non-veg selections,FOOD#QUALITY:positive
Decor is nice though service can be spotty.,Decor,AMBIENCE#GENERAL:positive
Decor is nice though service can be spotty.,service,SERVICE#GENERAL:negative
This place is always packed.,place,RESTAURANT#MISCELLANEOUS:neutral
"Most importantly, food is excellent.",food,FOOD#QUALITY:positive
Try the sea bass.,sea bass,FOOD#QUALITY:positive
Highly recommended.,NULL,RESTAURANT#GENERAL:positive
First of all Dal Bukhara Rocks.,Dal Bukhara,FOOD#QUALITY:positive
I am happy i did the food was awsome.,food,FOOD#QUALITY:positive
JUST AWSOME.,NULL,FOOD#QUALITY:positive
and yes Dal Bukhara is so dam good and so are all the kababs.,kababs,FOOD#QUALITY:positive
and yes Dal Bukhara is so dam good and so are all the kababs.,Dal Bukhara,FOOD#QUALITY:positive
but overall i give it a 10,NULL,RESTAURANT#GENERAL:positive
10,NULL,RESTAURANT#GENERAL:positive
Haru on Park S is simply disgusting.,Haru on Park S,RESTAURANT#GENERAL:negative
The fish was not fresh and the rice tasted old and stale.,fish,FOOD#QUALITY:negative
The fish was not fresh and the rice tasted old and stale.,rice,FOOD#QUALITY:negative
"Quite frankly, this is some of the worst sushi I have ever tried.",sushi,FOOD#QUALITY:negative
Will never be back.,NULL,RESTAURANT#GENERAL:negative
honestly the worst sushi my husband and i had in our entire lives.,sushi,FOOD#QUALITY:negative
not sure why this restaurant would be rated that highly.,restaurant,RESTAURANT#GENERAL:negative
the all-u-can-eat sushi is definitely in very poor quality.,all-u-can-eat sushi,FOOD#QUALITY:negative
"limited menu, no-so-fresh ingredients, thinly-sliced fish, fall-apart rice. ",menu,FOOD#STYLE_OPTIONS:negative
"limited menu, no-so-fresh ingredients, thinly-sliced fish, fall-apart rice. ",ingredients,FOOD#QUALITY:negative
"limited menu, no-so-fresh ingredients, thinly-sliced fish, fall-apart rice. ",fish,FOOD#STYLE_OPTIONS:negative
"limited menu, no-so-fresh ingredients, thinly-sliced fish, fall-apart rice. ",rice,FOOD#STYLE_OPTIONS:negative
"the only things u could really taste are the very salty soy sauce (even its low sodium), the vinegar-soaked rice, and the scallion on top of the fish. ",soy sauce,FOOD#QUALITY:negative
"the only things u could really taste are the very salty soy sauce (even its low sodium), the vinegar-soaked rice, and the scallion on top of the fish. ",rice,FOOD#QUALITY:negative
the waitstaffs are nice though.,waitstaffs,SERVICE#GENERAL:positive
wont come back again for sure!,NULL,RESTAURANT#GENERAL:negative
I have been to Roth's twice and both times were very disappointing.,Roth's,RESTAURANT#GENERAL:negative
"Both times I was extremely dissappointed by the service, which was boarderline rude.",service,SERVICE#GENERAL:negative
They wouldnt even let me finish my glass of wine before offering another.,NULL,SERVICE#GENERAL:negative
Much of the time it seems like they do not care about you.,NULL,SERVICE#GENERAL:negative
"The dinner was ok, nothing I would have again.",dinner,FOOD#QUALITY:negative
"I had their eggs benedict for brunch, which were the worst in my entire life, I tried removing the hollondaise sauce completely that was how failed it was.",eggs benedict,FOOD#QUALITY:negative
This was a great surprise.,NULL,RESTAURANT#GENERAL:positive
With the theater 2 blocks away we had a delicious meal in a beautiful room.,meal,FOOD#QUALITY:positive
With the theater 2 blocks away we had a delicious meal in a beautiful room.,room,AMBIENCE#GENERAL:positive
With the theater 2 blocks away we had a delicious meal in a beautiful room.,NULL,LOCATION#GENERAL:positive
The service was attentive.,service,SERVICE#GENERAL:positive
I look forward to eating here again,NULL,RESTAURANT#GENERAL:positive
Planet Thai is great!,Planet Thai,RESTAURANT#GENERAL:positive
"We love the food, drinks, and atmosphere!",food,FOOD#QUALITY:positive
"We love the food, drinks, and atmosphere!",drinks,DRINKS#QUALITY:positive
"We love the food, drinks, and atmosphere!",atmosphere,AMBIENCE#GENERAL:positive
"The svc can be a bit rude at times, esp if you have big group, but overall the restaurant is a must!",svc,SERVICE#GENERAL:negative
"The svc can be a bit rude at times, esp if you have big group, but overall the restaurant is a must!",restaurant,RESTAURANT#GENERAL:positive
"Try the Pad Thai, it's fabulous and their prices are so cheap!",Pad Thai,FOOD#QUALITY:positive
"Try the Pad Thai, it's fabulous and their prices are so cheap!",NULL,RESTAURANT#PRICES:positive
"Just because it's cheap does NOT mean the portions are small or the food is nasty, IT IS GREAT!",portions,FOOD#STYLE_OPTIONS:positive
"Just because it's cheap does NOT mean the portions are small or the food is nasty, IT IS GREAT!",food,FOOD#QUALITY:positive
"Just because it's cheap does NOT mean the portions are small or the food is nasty, IT IS GREAT!",NULL,RESTAURANT#PRICES:positive
"They forgot a sandwich, didn't include plastic forks, and didn't include pita with the hummus platter.",NULL,SERVICE#GENERAL:negative
"Also, the sandwiches (nearing $7) didn't come with anything like chips or a side.",sandwiches,FOOD#STYLE_OPTIONS:negative
"Also, the sandwiches (nearing $7) didn't come with anything like chips or a side.",sandwiches,FOOD#PRICES:negative
"Overall, not worth the money.",NULL,RESTAURANT#GENERAL:negative
"Overall, not worth the money.",NULL,RESTAURANT#PRICES:negative
"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.",atmosphere,AMBIENCE#GENERAL:positive
"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.",NULL,RESTAURANT#GENERAL:negative
Chennai Garden is my favorite Indian restaurant in the city.,Chennai Garden,RESTAURANT#GENERAL:positive
They have authentic Indian at amazin prices.,Indian,FOOD#QUALITY:positive
They have authentic Indian at amazin prices.,Indian,FOOD#PRICES:positive
This restaurant is VEGETARIAN; there are NO MEAT dishes whatsoever.,dishes,FOOD#STYLE_OPTIONS:negative
The seats are uncomfortable if you are sitting against the wall on wooden benches.,seats,AMBIENCE#GENERAL:negative
It's a rather cramped and busy restaurant and it closes early.,restaurant,RESTAURANT#MISCELLANEOUS:negative
It's a rather cramped and busy restaurant and it closes early.,restaurant,AMBIENCE#GENERAL:negative
Patroon features a nice cigar bar and has great staff.,cigar bar,AMBIENCE#GENERAL:positive
Patroon features a nice cigar bar and has great staff.,staff,SERVICE#GENERAL:positive
The food is tasty and portion sizes are appropriate.,food,FOOD#QUALITY:positive
The food is tasty and portion sizes are appropriate.,portion sizes,FOOD#STYLE_OPTIONS:positive
This is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates.,restaurant,RESTAURANT#MISCELLANEOUS:positive
Not a great place for family or general dining.,place,RESTAURANT#MISCELLANEOUS:negative
LLOOVVE THIS PLACE.,PLACE,RESTAURANT#GENERAL:positive
Food is excellent.,Food,FOOD#QUALITY:positive
Fish is so very fresh.,Fish,FOOD#QUALITY:positive
Waitstaff are very friendly.,Waitstaff,SERVICE#GENERAL:positive
Love YUKA.,YUKA,RESTAURANT#GENERAL:positive
Mermaid Inn is an overall good restaurant with really good seafood.,seafood,FOOD#QUALITY:positive
Mermaid Inn is an overall good restaurant with really good seafood.,Mermaid Inn,RESTAURANT#GENERAL:positive
The menu is limited but almost all of the dishes are excellent.,menu,FOOD#STYLE_OPTIONS:negative
The menu is limited but almost all of the dishes are excellent.,dishes,FOOD#QUALITY:positive
The lobster sandwich is good and the spaghetti with Scallops and Shrimp is great.,lobster sandwich,FOOD#QUALITY:positive
The lobster sandwich is good and the spaghetti with Scallops and Shrimp is great.,spaghetti with Scallops and Shrimp,FOOD#QUALITY:positive
The service is good and ambience is good for a date or group outing.,service,SERVICE#GENERAL:positive
The service is good and ambience is good for a date or group outing.,ambience,AMBIENCE#GENERAL:positive
The only fallback on this restaurant is the prices.,restaurant,RESTAURANT#PRICES:negative
"Even though its good seafood, the prices are too high.",seafood,FOOD#QUALITY:positive
"Even though its good seafood, the prices are too high.",seafood,FOOD#PRICES:negative
The lobster sandwich is $24 and although it was good it was not nearly enough to warrant that price.,lobster sandwich,FOOD#QUALITY:positive
The lobster sandwich is $24 and although it was good it was not nearly enough to warrant that price.,lobster sandwich,FOOD#STYLE_OPTIONS:negative
The lobster sandwich is $24 and although it was good it was not nearly enough to warrant that price.,lobster sandwich,FOOD#PRICES:negative
We were very pleasantly surprised.,NULL,RESTAURANT#GENERAL:positive
"The food was delicious (I had a halibut special, my husband had steak), and the service was top-notch.",food,FOOD#QUALITY:positive
"The food was delicious (I had a halibut special, my husband had steak), and the service was top-notch.",halibut special,FOOD#QUALITY:positive
"The food was delicious (I had a halibut special, my husband had steak), and the service was top-notch.",steak,FOOD#QUALITY:positive
"The food was delicious (I had a halibut special, my husband had steak), and the service was top-notch.",service,SERVICE#GENERAL:positive
"When my dessert came, there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift, and said he knew it was a special occassion of some sort.",waiter,SERVICE#GENERAL:positive
Truly the mark of an attentive waiter.,waiter,SERVICE#GENERAL:positive
I highly recommend the restaurant based on our experience last night.,restaurant,RESTAURANT#GENERAL:positive
We ate at this Thai place following the reviews but very unhappy with the foods.,foods,FOOD#QUALITY:negative
We thought that this place is using too much of MSG cooking in the foods.,foods,FOOD#QUALITY:negative
"They don't concern much of customer's health, just want to make money.",NULL,RESTAURANT#GENERAL:negative
please don't fool us.,NULL,RESTAURANT#GENERAL:negative
"I recommend the jelly fish, drunken chicken and the soupy dumplings, certainly the stir fry blue crab.",jelly fish,FOOD#QUALITY:positive
"I recommend the jelly fish, drunken chicken and the soupy dumplings, certainly the stir fry blue crab.",drunken chicken,FOOD#QUALITY:positive
"I recommend the jelly fish, drunken chicken and the soupy dumplings, certainly the stir fry blue crab.",soupy dumplings,FOOD#QUALITY:positive
"I recommend the jelly fish, drunken chicken and the soupy dumplings, certainly the stir fry blue crab.",stir fry blue crab,FOOD#QUALITY:positive
The food is so cheap and the waiters are nice.,food,FOOD#PRICES:positive
The food is so cheap and the waiters are nice.,waiters,SERVICE#GENERAL:positive
"Of course, it is crowded but who cares.",NULL,RESTAURANT#MISCELLANEOUS:neutral
Authentic Shanghai style and I cannot recommend a better Shanghai place in New York.,NULL,RESTAURANT#MISCELLANEOUS:positive
Have frequented 'ino for several years and the food remains excellent.,food,FOOD#QUALITY:positive
Cheese plate is a varied delight and great bargain at $10.,Cheese plate,FOOD#QUALITY:positive
Cheese plate is a varied delight and great bargain at $10.,Cheese plate,FOOD#STYLE_OPTIONS:positive
Cheese plate is a varied delight and great bargain at $10.,Cheese plate,FOOD#PRICES:positive
"The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating.",bruschettas,FOOD#STYLE_OPTIONS:positive
"The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating.",paninis,FOOD#STYLE_OPTIONS:positive
"The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating.",tramezzinis,FOOD#STYLE_OPTIONS:positive
"(The asparagus, truffle oil, parmesan bruschetta is a winner!)","asparagus, truffle oil, parmesan bruschetta",FOOD#QUALITY:positive
Wine list is extensive without being over-priced.,Wine list,DRINKS#STYLE_OPTIONS:positive
Wine list is extensive without being over-priced.,Wine list,DRINKS#PRICES:positive
"Be sure to try the seasonal, and always delicious, specials.",specials,FOOD#QUALITY:positive
Definitely a neighborhood favorite.,NULL,RESTAURANT#GENERAL:positive
I loved this place!!,place,RESTAURANT#GENERAL:positive
